迭代：265，类型：随机，适应值：(8877.0235,)，车辆：16，距离：2751.512，满意度：84.73
迭代：266，类型：随机，适应值：(8877.0235,)，车辆：16，距离：2751.512，满意度：84.73
迭代：267，类型：随机，适应值：(8869.4123,)，车辆：16，距离：2747.706，满意度：84.73
迭代：268，类型：随机，适应值：(8791.7826,)，车辆：16，距离：2782.891，满意度：85.47
迭代：269，类型：随机，适应值：(8709.6539,)，车辆：16，距离：2741.827，满意度：85.47
迭代：270，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：271，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：272，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：273，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：274，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：275，类型：随机，适应值：(8600.7604,)，车辆：17，距离：2890.38，满意度：87.6
迭代：276，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：277，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：278，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：279，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：280，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：281，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：282，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：283，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：284，类型：随机，适应值：(8521.1159,)，车辆：17，距离：2850.558，满意度：87.6
迭代：285，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：286，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：287，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：288，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：289，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：290，类型：随机，适应值：(8484.5626,)，车辆：17，距离：2932.281，满意度：88.6
迭代：291，类型：随机，适应值：(8412.1617,)，车辆：17，距离：2896.081，满意度：88.6
迭代：292，类型：随机，适应值：(8412.1617,)，车辆：17，距离：2896.081，满意度：88.6
迭代：293，类型：随机，适应值：(8412.1617,)，车辆：17，距离：2896.081，满意度：88.6
迭代：294，类型：随机，适应值：(8412.1617,)，车辆：17，距离：2896.081，满意度：88.6
迭代：295，类型：随机，适应值：(8401.2949,)，车辆：17，距离：2897.647，满意度：88.67
迭代：296，类型：随机，适应值：(8401.2949,)，车辆：17，距离：2897.647，满意度：88.67
迭代：297，类型：随机，适应值：(8401.2949,)，车辆：17，距离：2897.647，满意度：88.67
迭代：298，类型：随机，适应值：(8389.4167,)，车辆：17，距离：2904.708，满意度：88.8
